responseid,plastic_bag_disposal,trash,recycle,dropoff,other
R_115CzHpYpS1WSop,Trash Cart,True,False,False,False
R_Ua8v5yZy7uRanBv,Trash Cart,True,False,False,False
R_A1BsIL7IKYuo4Cd,Trash Cart,True,False,False,False
R_1dtzY5QvyeFFXMY,Take to Drop-off Recycling Center,False,False,True,False
R_1j9DiGmtVH60GjR,Take to Drop-off Recycling Center,False,False,True,False
R_2zphRy3Bq8VAjZo,Trash Cart,True,False,False,False
R_3IYw0HmXPuJiLqJ,Take to Drop-off Recycling Center,False,False,True,False
R_e3cV1JzQCM0ZhaF,"Trash Cart,Other (such as can and bottle return or compost)",True,False,False,True
R_W8c6wtKmuOsIpuF,Other (such as can and bottle return or compost),False,False,False,True
R_32LaDJwXmogR9Re,Trash Cart,True,False,False,False
R_3FKbdxo1M9srOu4,Take to Drop-off Recycling Center,False,False,True,False
R_3D17l1H8UgTXOco,"Trash Cart,Recycling Cart",True,True,False,False
R_41QK8DTODGOY6DD,Trash Cart,True,False,False,False
R_1mkpJkQuzB0IDur,Trash Cart,True,False,False,False
R_u4XoVhnSfFl6biF,Take to Drop-off Recycling Center,False,False,True,False
R_1IW1a19d7zMwG0z,Trash Cart,True,False,False,False
R_2sZLkTb0C7mqclI,"Trash Cart,Recycling Cart",True,True,False,False
R_3QW1JgjCDwCmzuF,Other (such as can and bottle return or compost),False,False,False,True
R_O7kuVKE4IHAWX61,Trash Cart,True,False,False,False
R_3O9vFu3RD2D2mcQ,Take to Drop-off Recycling Center,False,False,True,False
R_rkY7MxBeIzHcSnn,NA,False,False,False,False
R_3MoPNoqjVeAbTkf,Other (such as can and bottle return or compost),False,False,False,True
R_3iJQVFBVGoePjsK,Take to Drop-off Recycling Center,False,False,True,False
R_23e2JVEuiqcVDVx,"Trash Cart,Other (such as can and bottle return or compost)",True,False,False,True
R_ebrOmhM9aYaOAud,Trash Cart,True,False,False,False
R_WBcVryfMAsGHlKN,"Trash Cart,Other (such as can and bottle return or compost)",True,False,False,True
R_1KdNqEGF7C1sC5A,Take to Drop-off Recycling Center,False,False,True,False
R_2q7SYWocftnQoLO,Other (such as can and bottle return or compost),False,False,False,True
R_2fvWk64JXy6toFT,Other (such as can and bottle return or compost),False,False,False,True
R_1iao6aZVvwVRUZe,Trash Cart,True,False,False,False
R_yvSGUKZX3h6IhRT,Other (such as can and bottle return or compost),False,False,False,True
R_3O8DZ6S5CTIFui5,Take to Drop-off Recycling Center,False,False,True,False
R_2pLVAWKB9qAAVl0,Trash Cart,True,False,False,False
R_zZjd6MDImpQpkhH,Other (such as can and bottle return or compost),False,False,False,True
R_2zcF8zz3ZYq69tz,Other (such as can and bottle return or compost),False,False,False,True
R_9Rd0JuuycBkDQOt,Take to Drop-off Recycling Center,False,False,True,False
R_3GlYxrDjOzm1M4j,Other (such as can and bottle return or compost),False,False,False,True
R_vDG1tVlinMDJCkV,Take to Drop-off Recycling Center,False,False,True,False
R_32Qs9cMzDLZAl2t,Take to Drop-off Recycling Center,False,False,True,False
R_1CJgsbXIRk3Dyrz,Trash Cart,True,False,False,False
R_241chZlLK78NijR,Recycling Cart,False,True,False,False
R_syVnTb8o2REA4h3,Trash Cart,True,False,False,False
R_2DYt3LblJG4lqV2,Take to Drop-off Recycling Center,False,False,True,False
R_beghlvqjMEKgbyF,Trash Cart,True,False,False,False
R_20Z47DpqH3l6p9J,Trash Cart,True,False,False,False
R_305WoZEcIS1taJZ,Trash Cart,True,False,False,False
R_2uWLK7FFPO2oztI,Take to Drop-off Recycling Center,False,False,True,False
R_3dKd1cUJjNk9Pkg,Trash Cart,True,False,False,False
R_3GexPYPKQpKU8B0,Trash Cart,True,False,False,False
R_21H8xMqquKAJNSy,Trash Cart,True,False,False,False
R_3PAD3WW6ITltXpF,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_ah4EcyNtWq66M37,Other (such as can and bottle return or compost),False,False,False,True
R_3Dpw0L93UJIdmK7,Trash Cart,True,False,False,False
R_1In4KxUw0Pz7PsA,Take to Drop-off Recycling Center,False,False,True,False
R_1eDiK2UAe4cmiJq,Take to Drop-off Recycling Center,False,False,True,False
R_3D14QqYiBvt3TpJ,Trash Cart,True,False,False,False
R_26liY8uMWCnVX5o,"Take to Drop-off Recycling Center,Other (such as can and bottle return or compost)",False,False,True,True
R_24XgynI8QAzzqa5,Take to Drop-off Recycling Center,False,False,True,False
R_2Ysu9W0vTMaHkXd,Other (such as can and bottle return or compost),False,False,False,True
R_3M6xu1HlGTazaU9,Recycling Cart,False,True,False,False
R_2eQohTuKX3RGs3N,Trash Cart,True,False,False,False
R_VImxwgvSIol6MmZ,Trash Cart,True,False,False,False
R_tKz0JJQUD5cKVl7,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_1EX1zItlbW69btm,Take to Drop-off Recycling Center,False,False,True,False
R_1OBo20X7Pdlzlg2,Take to Drop-off Recycling Center,False,False,True,False
R_2Cwd9iwMC8fg36y,Other (such as can and bottle return or compost),False,False,False,True
R_125X3q2z2JhdTVq,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_2TKSorrbMmrFTXH,Trash Cart,True,False,False,False
R_28XNQHiIxj2PW34,Other (such as can and bottle return or compost),False,False,False,True
R_1gSYe7XVgt2kDJr,Trash Cart,True,False,False,False
R_3mkN4eQnhkCslLR,Other (such as can and bottle return or compost),False,False,False,True
R_2xxHJJ9AwDo1Bm1,Take to Drop-off Recycling Center,False,False,True,False
R_27lFBqdJmR5LB5A,Take to Drop-off Recycling Center,False,False,True,False
R_9NddfSgkZ3pq8Ux,Other (such as can and bottle return or compost),False,False,False,True
R_2OMF7fc7bhIodbN,Trash Cart,True,False,False,False
R_su3qWsCKCZxc0bT,Other (such as can and bottle return or compost),False,False,False,True
R_3NOsVEMugLqtAbS,Trash Cart,True,False,False,False
R_3gUCE4YyhpF1aAP,Other (such as can and bottle return or compost),False,False,False,True
R_curlDvGITFMGVtT,Other (such as can and bottle return or compost),False,False,False,True
R_BsTjeGGWI3N2qXv,Trash Cart,True,False,False,False
R_3J9hPQY5ctlQzbT,Take to Drop-off Recycling Center,False,False,True,False
R_3rUTiormaSjiFMv,Other (such as can and bottle return or compost),False,False,False,True
R_qCMghZP7hvCgXw5,Trash Cart,True,False,False,False
R_2rDiDMwImMf867I,Other (such as can and bottle return or compost),False,False,False,True
R_2arhxjkK8zDykjj,Trash Cart,True,False,False,False
R_2cnI4kyXYeHumuQ,Trash Cart,True,False,False,False
R_2ipFBXCAbJr6j6h,Take to Drop-off Recycling Center,False,False,True,False
R_1Cg1yYgxH72In85,Other (such as can and bottle return or compost),False,False,False,True
R_238DceOUScTxWxr,Take to Drop-off Recycling Center,False,False,True,False
R_SMD70HS3re3JXWN,Other (such as can and bottle return or compost),False,False,False,True
R_2z7IteDW5O55vUZ,Take to Drop-off Recycling Center,False,False,True,False
R_AiHvKEfQU0UdIf7,Trash Cart,True,False,False,False
R_3CH3O30a962aoyh,Trash Cart,True,False,False,False
R_1isacs1uPjnBq6e,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_1rH68YgAhstYvPk,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_p4N0BcQsffCRJ8R,Trash Cart,True,False,False,False
R_2rA57M2VlfuRR3l,Trash Cart,True,False,False,False
R_2b1oF8BOfzRcYSB,Recycling Cart,False,True,False,False
R_1irmPf9ZJxatNSw,"Trash Cart,Other (such as can and bottle return or compost)",True,False,False,True
R_xhCdrOV2cUkcWnn,Other (such as can and bottle return or compost),False,False,False,True
R_1Cp6BY9f4xRVwSu,Trash Cart,True,False,False,False
R_3fis8Z0Vfnd0rRM,Trash Cart,True,False,False,False
R_32WpgQ1QA5Ljk2L,Other (such as can and bottle return or compost),False,False,False,True
R_2qslbLaLTpP54M4,Take to Drop-off Recycling Center,False,False,True,False
R_3jezfRQ094qsMtP,Take to Drop-off Recycling Center,False,False,True,False
R_AgL5Sk8obLyKXwR,Trash Cart,True,False,False,False
R_3lKeWUujAcQNNUY,"Trash Cart,Other (such as can and bottle return or compost)",True,False,False,True
R_3EAxgqqCRQBjNXB,Other (such as can and bottle return or compost),False,False,False,True
R_1opafvCscbjdmSp,Trash Cart,True,False,False,False
R_2xJzsLxgzvSqKo5,Other (such as can and bottle return or compost),False,False,False,True
R_3MLnb5mDiwhwwFk,Other (such as can and bottle return or compost),False,False,False,True
R_3GvSiRej4oj4hIm,Trash Cart,True,False,False,False
R_XFz7gfdKWRtILL3,Trash Cart,True,False,False,False
R_25LV3fqkDEPNHxJ,"Trash Cart,Other (such as can and bottle return or compost)",True,False,False,True
R_3EYBI8qZ5L8xI2D,Take to Drop-off Recycling Center,False,False,True,False
R_2YFyVTyAmL0gE0A,Trash Cart,True,False,False,False
R_2OW3G6P6FX5f1L8,Take to Drop-off Recycling Center,False,False,True,False
R_3m4WwIGrONAHMPz,"Trash Cart,Other (such as can and bottle return or compost)",True,False,False,True
R_PvYD2FzWdbb9kfT,Take to Drop-off Recycling Center,False,False,True,False
R_33xm2Ts2voco948,Take to Drop-off Recycling Center,False,False,True,False
R_2VC4inzlj4hK9yk,Other (such as can and bottle return or compost),False,False,False,True
R_22ofAI05Nb7pJhQ,Trash Cart,True,False,False,False
R_9v2HRUkD5b6P7Oh,Trash Cart,True,False,False,False
R_1jery6gMn5igTgT,Trash Cart,True,False,False,False
R_0J05cw0anbnEx9L,Take to Drop-off Recycling Center,False,False,True,False
R_248hvBxBEHG8IyK,Trash Cart,True,False,False,False
R_33kZ1yDCBqUsSps,Take to Drop-off Recycling Center,False,False,True,False
R_3Li2plAbXbO7J6u,Recycling Cart,False,True,False,False
R_1pSvMleQx8pWUTd,Take to Drop-off Recycling Center,False,False,True,False
R_2BhNyFLjcEypaHw,Trash Cart,True,False,False,False
R_3kv7eB51QY91g0J,Take to Drop-off Recycling Center,False,False,True,False
R_2EyhtnVt1iUNtST,Trash Cart,True,False,False,False
R_1pVtNJ1CPl3f3LH,Trash Cart,True,False,False,False
R_3nrBmfkVOh7TKlb,Trash Cart,True,False,False,False
R_2D7em0FlxS3XgLR,Take to Drop-off Recycling Center,False,False,True,False
R_28YD2wk4QiTilso,"Trash Cart,Other (such as can and bottle return or compost)",True,False,False,True
R_0llLAx6357oOXbb,Trash Cart,True,False,False,False
R_1eQu5aZqnTai2d8,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_2D6PFil7c2zCnfX,Trash Cart,True,False,False,False
R_yJ7sVvc9iLkLeX7,Trash Cart,True,False,False,False
R_1NyU2A8yKpCgP6X,Trash Cart,True,False,False,False
R_27DzDbtFUFi8ply,Other (such as can and bottle return or compost),False,False,False,True
R_pQ61HB544mdfk2d,Trash Cart,True,False,False,False
R_1Q9gjcfS3RqNG58,Other (such as can and bottle return or compost),False,False,False,True
R_QlU3IHeoF3t27bb,Take to Drop-off Recycling Center,False,False,True,False
R_6DNR2rnwKRXbosh,Trash Cart,True,False,False,False
R_3kO2QK1355nrpx4,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_1LBBMChyqH8jAl5,Take to Drop-off Recycling Center,False,False,True,False
R_b2BPStkZRjp50I1,Trash Cart,True,False,False,False
R_ZLa1fnBV11IBFHH,Take to Drop-off Recycling Center,False,False,True,False
R_zSfG4ln5iTQYcw1,Other (such as can and bottle return or compost),False,False,False,True
R_2dp4wt3meEgb6Lh,Trash Cart,True,False,False,False
R_2UW8CUZH7AdVxUp,Other (such as can and bottle return or compost),False,False,False,True
R_x3l7QO5YRROcwzn,Other (such as can and bottle return or compost),False,False,False,True
R_s4OSbLYTiyxzqq5,Take to Drop-off Recycling Center,False,False,True,False
R_2411MMgGw3Eq69l,Other (such as can and bottle return or compost),False,False,False,True
R_AKUt4FCJpEatiE1,Trash Cart,True,False,False,False
R_1gAUX9FgOj2pGaL,Take to Drop-off Recycling Center,False,False,True,False
R_1Cg8sH0X7dOF31H,Take to Drop-off Recycling Center,False,False,True,False
R_aXH1EomfPHUVi2l,Recycling Cart,False,True,False,False
R_afaDQNcRPEoxqOR,Trash Cart,True,False,False,False
R_3Jfa8nMPvf2WiUz,Trash Cart,True,False,False,False
R_25L3ZoCGTioHri1,Other (such as can and bottle return or compost),False,False,False,True
R_2asKoYSjry622Ou,Trash Cart,True,False,False,False
R_3kcgHeAUxOU4MaL,Take to Drop-off Recycling Center,False,False,True,False
R_25LVJiFxFwZVcW1,Other (such as can and bottle return or compost),False,False,False,True
R_QoJQfO75mh0K0Bb,Take to Drop-off Recycling Center,False,False,True,False
R_1j6rTddQu31fGwf,Take to Drop-off Recycling Center,False,False,True,False
R_3HuF3RXs0xFcEgi,Trash Cart,True,False,False,False
R_1E7mOoAiv3JMQrB,Take to Drop-off Recycling Center,False,False,True,False
R_1JQiiGEjuCrmyya,Recycling Cart,False,True,False,False
R_Z1PpITBwi5M33nb,Other (such as can and bottle return or compost),False,False,False,True
R_3s5CHiWOAwJ7ntb,Take to Drop-off Recycling Center,False,False,True,False
R_2SHbYgJoGPW7rmN,Take to Drop-off Recycling Center,False,False,True,False
R_2P75o9iWmBe4IFP,Take to Drop-off Recycling Center,False,False,True,False
R_10DIRrwFOD7rljt,"Recycling Cart,Other (such as can and bottle return or compost)",False,True,False,True
R_Op14qf9MHqgtylX,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_71EqukmDA788fm1,Trash Cart,True,False,False,False
R_RkrAKdE1DjhgSBP,Other (such as can and bottle return or compost),False,False,False,True
R_1PSoW7NgtfCg600,Other (such as can and bottle return or compost),False,False,False,True
R_3JERjxv7n52ux8s,Other (such as can and bottle return or compost),False,False,False,True
R_3IRyeswPe00Hm1X,Other (such as can and bottle return or compost),False,False,False,True
R_3nwn3pYaKQFqAjA,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_AoqYwbRuBlhQUXT,NA,False,False,False,False
R_1NfKJaKDnnAKKY1,Take to Drop-off Recycling Center,False,False,True,False
R_1MlygV5Ths79Lyh,Trash Cart,True,False,False,False
R_1fdPI4qdkAMUPPI,"Trash Cart,Other (such as can and bottle return or compost)",True,False,False,True
R_2xP3BNFNPaTL92z,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_Wle0qI3Y2CIqIxj,Trash Cart,True,False,False,False
R_31nIZxbK1Kzl1kp,Take to Drop-off Recycling Center,False,False,True,False
R_1dgL8LABcTTDxu2,Trash Cart,True,False,False,False
R_oZzezbBQysooMox,Other (such as can and bottle return or compost),False,False,False,True
R_1Quf4EjEsCnPAbe,"Trash Cart,Other (such as can and bottle return or compost)",True,False,False,True
R_qItmsukxOgUfDEt,Trash Cart,True,False,False,False
R_tDS5GhcVB1ySa9b,Trash Cart,True,False,False,False
R_1cSOQ8o0mP4tuzf,NA,False,False,False,False
R_33wh7rzcGW7Rw0P,Other (such as can and bottle return or compost),False,False,False,True
R_6ygCmr5Aq47ePHX,Take to Drop-off Recycling Center,False,False,True,False
R_1gngWVLSyxnI4We,Trash Cart,True,False,False,False
R_3QDBoumpZ1zbRTt,Trash Cart,True,False,False,False
R_1QhYk36Nni16x9W,Trash Cart,True,False,False,False
R_272Vu3yKZas06hV,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_3lAKaD3pfNUPcdr,Other (such as can and bottle return or compost),False,False,False,True
R_31ATZ3iCca6SCJf,Trash Cart,True,False,False,False
R_20SgdIkT1m2L5yC,Trash Cart,True,False,False,False
R_BywKRni64zwMAIp,Take to Drop-off Recycling Center,False,False,True,False
R_1mXwhSzht4Q9Luw,Trash Cart,True,False,False,False
R_2ctRQHKnOky1zwW,Trash Cart,True,False,False,False
R_3rTjclHZrvGqJiw,Trash Cart,True,False,False,False
R_2EtuhD3sL7ZMopd,Other (such as can and bottle return or compost),False,False,False,True
R_3O160iKRafC0phA,Other (such as can and bottle return or compost),False,False,False,True
R_T6lbRY3FBNwGGqJ,Recycling Cart,False,True,False,False
R_2VvxLj6rY4u0X3Z,"Trash Cart,Recycling Cart",True,True,False,False
R_w7V3lmRJ1g76A7L,Recycling Cart,False,True,False,False
R_3O1vo0TSVvTf06F,Recycling Cart,False,True,False,False
R_eFGZ7HinHAcx3J7,Other (such as can and bottle return or compost),False,False,False,True
R_1N3NzNZRYEtxmei,Other (such as can and bottle return or compost),False,False,False,True
R_8e1AbnoBy1K9AL7,Trash Cart,True,False,False,False
R_3iFuogFuyw3qi5j,Take to Drop-off Recycling Center,False,False,True,False
R_1DMDzMnBg0H2ej3,Recycling Cart,False,True,False,False
R_3jVgFAVd5wVvFdC,Trash Cart,True,False,False,False
R_pAbja210EwcSuZz,"Trash Cart,Other (such as can and bottle return or compost)",True,False,False,True
R_TbX9npjT6KHAYUx,"Recycling Cart,Other (such as can and bottle return or compost)",False,True,False,True
R_2bP2YH08feJHGsK,Other (such as can and bottle return or compost),False,False,False,True
R_21vTsDRphwCeJlo,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_0x3H9Wp4bfcOhl7,Take to Drop-off Recycling Center,False,False,True,False
R_1FCVn18TaZRKeKM,Trash Cart,True,False,False,False
R_2ur3OYF84qkTKAR,Trash Cart,True,False,False,False
R_eg77MJYje16owmt,Trash Cart,True,False,False,False
R_vVOOHl5w74hCCA1,Trash Cart,True,False,False,False
R_1JEp3GUrukQJPeq,Trash Cart,True,False,False,False
R_3IbfpoQCG4S2h7q,Other (such as can and bottle return or compost),False,False,False,True
R_1pJOD7oR8FVIGHh,Take to Drop-off Recycling Center,False,False,True,False
R_3nIcWnv3GxJDk1V,"Trash Cart,Recycling Cart",True,True,False,False
R_3lJt1qZDrcPmgiW,Trash Cart,True,False,False,False
R_0Mz69uR9k9vtMhH,Take to Drop-off Recycling Center,False,False,True,False
R_3hiITL8ObapeAZ7,Trash Cart,True,False,False,False
R_3Mz1Cxck9NoCx69,Trash Cart,True,False,False,False
R_3nVKsAeifhrIugV,Take to Drop-off Recycling Center,False,False,True,False
R_5bYXsj56pU7f6cV,Trash Cart,True,False,False,False
R_1Q3jy1tpQx1TKUe,Trash Cart,True,False,False,False
R_1ohbkP5PtYiuPmr,Trash Cart,True,False,False,False
R_3PYqb18pSKy7lhp,Trash Cart,True,False,False,False
R_1dtxnQ5xSjBsyQE,Take to Drop-off Recycling Center,False,False,True,False
R_290UNrNX5Oi3Lhn,Trash Cart,True,False,False,False
R_2trr358i8FgTE7w,"Trash Cart,Recycling Cart",True,True,False,False
R_1K6ATaM7vI4BcRD,Take to Drop-off Recycling Center,False,False,True,False
R_1lhgGvTNWBGshoI,Other (such as can and bottle return or compost),False,False,False,True
R_1jlcq7aJbp5r1lh,NA,False,False,False,False
R_1HpEn98o6udx7Ub,Other (such as can and bottle return or compost),False,False,False,True
