startdate,starttime,enddate,endtime,status,progress,duration_in_secs,finished,recordeddate,responseid,distributionchannel,userlanguage,current_info_receipt,how_do_you_want_info,recyclable_paper_disposal,nonrecyclable_paper_disposal,cardboard_boxboard_disposal,recyclable_glass_disposal,specialty_glass_disposal,recyclable_plastics_disposal,plastic_bag_disposal,bulky_plastic_disposal,polystyrene_foam_disposal,recyclable_metals_disposal,specialty_metals_disposal,e_waste_disposal,misc_items_disposal,accepted_item_in_trash,accepted_item_in_recycling,not_accepted_item_in_trash,not_accepted_item_in_recycling,unsure_item_in_trash,unsure_item_in_recycling,specialty_recycle_dropoff,what_happens_unwashed,what_happens_bagged,what_happens_unsure
2020-10-19,12:24:15,2020-10-19,12:29:25,IP Address,100,309,True,2020-10-19 12:29:25,R_3EtDMDxfllMlOjQ,anonymous,EN,Mailed pamphlets/flyers/or newsletters,Mailed pamphlets/flyers/or newsletters,Recycling Cart,NA,Recycling Cart,Trash Cart,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,"Take to Drop-off Recycling Center,Other (such as can and bottle return or compost)",Trash Cart,NA,Recycling Cart,Trash Cart,NA,NA,NA,NA,Extremely likely,Extremely likely,NA,I am unsure of what happens to unwashed recyclable items.,Disposed of into the trash by the recycling center after pick-up.,Dispose of the item in the trash.
2020-10-19,12:23:15,2020-10-19,12:29:44,IP Address,100,389,True,2020-10-19 12:29:44,R_2tLMUvK1EH7DLeG,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling and Trash website",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,NA,Recycling Cart,Trash Cart,NA,Trash Cart,Recycling Cart,NA,Take to Drop-off Recycling Center,Trash Cart,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat likely,Extremely unlikely,Extremely likely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,12:24:39,2020-10-19,12:29:49,IP Address,100,309,True,2020-10-19 12:29:49,R_23488oCmFcoTcSo,anonymous,EN,Mailed pamphlets/flyers/or newsletters,Mailed pamphlets/flyers/or newsletters,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Trash Cart,Take to Drop-off Recycling Center,Recycling Cart,Trash Cart,NA,NA,Extremely likely,NA,Somewhat unlikely,NA,Extremely likely,NA,Somewhat likely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,12:24:19,2020-10-19,12:29:52,IP Address,100,332,True,2020-10-19 12:29:52,R_2RadolWwkWxzk1P,anonymous,EN,Mailed pamphlets/flyers/or newsletters,Mailed pamphlets/flyers/or newsletters,"Trash Cart,Recycling Cart",Trash Cart,"Trash Cart,Recycling Cart",Recycling Cart,"Recycling Cart,Take to Drop-off Recycling Center",Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,"Recycling Cart,Take to Drop-off Recycling Center",Recycling Cart,Somewhat unlikely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely likely,Somewhat unlikely,Somewhat likely,Disposed of into the trash by the recycling center after pick-up.,Disposed of into the trash by the recycling center after pick-up.,Dispose of the item in the trash.
2020-10-19,12:25:13,2020-10-19,12:30:31,IP Address,100,318,True,2020-10-19 12:30:31,R_1g2xGtXkn9deN5R,anonymous,EN,The City of Lansing social media pages,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling and Trash website",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,Trash Cart,Somewhat unlikely,Extremely likely,Extremely likely,Extremely unlikely,Extremely likely,Somewhat unlikely,Somewhat likely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Dispose of the item in the trash.
2020-10-19,12:23:26,2020-10-19,12:30:38,IP Address,100,432,True,2020-10-19 12:30:38,R_2EoWt3uBdqOZimJ,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website,The City of Lansing social media pages,The Recycle Coach and/or Lansing Connect app","Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling and Trash website,The Recycle Coach and/or Lansing Connect app",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Extremely unlikely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat likely,Extremely likely,Disposed of into the trash by the recycling center after pick-up.,Disposed of into the trash by the recycling center after pick-up.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,12:23:23,2020-10-19,12:30:57,IP Address,100,453,True,2020-10-19 12:30:57,R_1FS6PynCDXPC9cK,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling and Trash website",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,NA,Recycling Cart,Other (such as can and bottle return or compost),Recycling Cart,Trash Cart,Other (such as can and bottle return or compost),Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Extremely unlikely,Extremely likely,Neither likely nor unlikely,Neither likely nor unlikely,Somewhat unlikely,Extremely unlikely,Extremely likely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,12:27:45,2020-10-19,12:31:34,IP Address,100,228,True,2020-10-19 12:31:34,R_3mlNCY103xrod13,anonymous,EN,The Capital Area Recycling And Trash website,"Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling and Trash website",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,"Recycling Cart,Other (such as can and bottle return or compost)",Trash Cart,Trash Cart,Trash Cart,Recycling Cart,Trash Cart,Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Extremely likely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Dispose of the item in the trash.
2020-10-19,12:26:16,2020-10-19,12:32:01,IP Address,100,344,True,2020-10-19 12:32:01,R_2VmccSEFjhd3HdO,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,The Recycle Coach and/or Lansing Connect app",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,NA,Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Extremely unlikely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat likely,Extremely unlikely,Extremely likely,Disposed of into the trash by the recycling center after pick-up.,I am unsure of what happens to items bagged in the recycling cart.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,12:28:35,2020-10-19,12:32:04,IP Address,100,208,True,2020-10-19 12:32:04,R_1QlIYkuOeDmZBz0,anonymous,EN,NA,"Friends/family/and/or neighbors,Mailed pamphlets/flyers/or newsletters,Information on my recycling cart",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Recycling Cart,Trash Cart,Neither likely nor unlikely,Extremely likely,Extremely likely,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Somewhat likely,Cleaned by the recycling center after pick-up.,Disposed of into the trash by the recycling center after pick-up.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,12:29:05,2020-10-19,12:32:11,IP Address,100,186,True,2020-10-19 12:32:11,R_DOjuEcxc0Ac9XmV,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website",Mailed pamphlets/flyers/or newsletters,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,NA,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Extremely likely,Extremely unlikely,Somewhat likely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,12:27:10,2020-10-19,12:32:39,IP Address,100,329,True,2020-10-19 12:32:39,R_TiPzLjzfIRiiMOB,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling And Trash website","Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling and Trash website",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Trash Cart,Take to Drop-off Recycling Center,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,"Trash Cart,Take to Drop-off Recycling Center",Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat likely,Somewhat unlikely,Extremely likely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,12:28:48,2020-10-19,12:32:51,IP Address,100,242,True,2020-10-19 12:32:51,R_2rPBf7hZ2fluqTC,anonymous,EN,"Friends/family/and/or neighbors,Mailed pamphlets/flyers/or newsletters,Information on my recycling cart",Mailed pamphlets/flyers/or newsletters,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Trash Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Somewhat unlikely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,I am unsure of what happens to unwashed recyclable items.,Disposed of into the trash by the recycling center after pick-up.,Dispose of the item in the trash.
2020-10-19,12:23:50,2020-10-19,12:33:32,IP Address,100,581,True,2020-10-19 12:33:32,R_2fpNpQlj6haARqq,anonymous,EN,Mailed pamphlets/flyers/or newsletters,"Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling and Trash website,The City of Lansing social media pages",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Trash Cart,Take to Drop-off Recycling Center,Trash Cart,Recycling Cart,Recycling Cart,"Recycling Cart,Take to Drop-off Recycling Center","Recycling Cart,Take to Drop-off Recycling Center",Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Somewhat likely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Dispose of the item in the trash.
2020-10-19,12:26:47,2020-10-19,12:34:00,IP Address,100,432,True,2020-10-19 12:34:00,R_2tledQ3XLda1vEC,anonymous,EN,"A school/commercial business/and/or my place of work,Friends/family/and/or neighbors,Mailed pamphlets/flyers/or newsletters","Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The City of Lansing social media pages",Recycling Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Trash Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,Trash Cart,Somewhat unlikely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat likely,Somewhat unlikely,Extremely likely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Recycle the item.
2020-10-19,12:28:57,2020-10-19,12:34:22,IP Address,100,325,True,2020-10-19 12:34:22,R_DOxmHFBL1K0uJYB,anonymous,EN,The Capital Area Recycling And Trash website,"Mailed pamphlets/flyers/or newsletters,The City of Lansing social media pages,The Recycle Coach and/or Lansing Connect app",Trash Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Trash Cart,Trash Cart,Trash Cart,Trash Cart,Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Somewhat unlikely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely likely,Somewhat unlikely,Somewhat unlikely,Disposed of into the trash by the recycling center after pick-up.,Disposed of into the trash by the recycling center after pick-up.,Dispose of the item in the trash.
2020-10-19,12:26:21,2020-10-19,12:34:29,IP Address,100,488,True,2020-10-19 12:34:30,R_9vsXwRK28UxJrGN,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,Information on my recycling cart,The Capital Area Recycling And Trash website",The Capital Area Recycling and Trash website,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,"Trash Cart,Take to Drop-off Recycling Center",Recycling Cart,"Take to Drop-off Recycling Center,Other (such as can and bottle return or compost)",Recycling Cart,Take to Drop-off Recycling Center,"Recycling Cart,Take to Drop-off Recycling Center","Recycling Cart,Take to Drop-off Recycling Center",Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Extremely unlikely,Extremely likely,Somewhat likely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,Extremely likely,I am unsure of what happens to unwashed recyclable items.,I am unsure of what happens to items bagged in the recycling cart.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,12:28:19,2020-10-19,12:34:45,IP Address,100,386,True,2020-10-19 12:34:46,R_3KAwxBZIyCXBKUY,anonymous,EN,Mailed pamphlets/flyers/or newsletters,Mailed pamphlets/flyers/or newsletters,Recycling Cart,NA,Recycling Cart,Recycling Cart,NA,Recycling Cart,Trash Cart,NA,NA,Recycling Cart,NA,NA,NA,Extremely unlikely,Neither likely nor unlikely,NA,NA,NA,NA,NA,I am unsure of what happens to unwashed recyclable items.,Rejected by the recycling collectors before pick-up.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,12:30:42,2020-10-19,12:35:27,IP Address,100,285,True,2020-10-19 12:35:28,R_2COioatClxTHs17,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,Information on my recycling cart",Mailed pamphlets/flyers/or newsletters,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Take to Drop-off Recycling Center,Other (such as can and bottle return or compost),Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,Trash Cart,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,NA,Somewhat likely,Somewhat likely,Disposed of into the trash by the recycling center after pick-up.,Disposed of into the trash by the recycling center after pick-up.,Dispose of the item in the trash.
2020-10-19,12:21:50,2020-10-19,12:36:21,IP Address,100,870,True,2020-10-19 12:36:21,R_C1BgpyLAWVNjNEB,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website,The Recycle Coach and/or Lansing Connect app","Information on my recycling cart,The Capital Area Recycling and Trash website,The Recycle Coach and/or Lansing Connect app","Trash Cart,Recycling Cart",Trash Cart,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Other (such as can and bottle return or compost),Recycling Cart,Trash Cart,"Recycling Cart,Other (such as can and bottle return or compost)",Trash Cart,Other (such as can and bottle return or compost),Trash Cart,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat likely,Neither likely nor unlikely,Somewhat unlikely,Cleaned by the recycling center after pick-up.,I am unsure of what happens to items bagged in the recycling cart.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,12:32:42,2020-10-19,12:36:36,IP Address,100,233,True,2020-10-19 12:36:37,R_3KJhRXggdz4ZlkC,anonymous,EN,"Mailed pamphlets/flyers/or newsletters,The Capital Area Recycling And Trash website",Mailed pamphlets/flyers/or newsletters,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Trash Cart,Recycling Cart,Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Recycling Cart,Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Extremely unlikely,Extremely likely,Somewhat likely,Extremely likely,Extremely likely,Neither likely nor unlikely,Extremely likely,Rejected by the recycling collectors before pick-up.,Rejected by the recycling collectors before pick-up.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,12:31:11,2020-10-19,12:36:56,IP Address,100,345,True,2020-10-19 12:36:57,R_3gZ6y9x1MvVfWoy,anonymous,EN,"A school/commercial business/and/or my place of work,Friends/family/and/or neighbors,Information on my recycling cart","A school/commercial business/and/or my place of work,Mailed pamphlets/flyers/or newsletters,The Recycle Coach and/or Lansing Connect app",Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Take to Drop-off Recycling Center,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat likely,Somewhat unlikely,Somewhat likely,I am unsure of what happens to unwashed recyclable items.,Rejected by the recycling collectors before pick-up.,Dispose of the item in the trash.
2020-10-19,12:33:38,2020-10-19,12:37:09,IP Address,100,210,True,2020-10-19 12:37:09,R_2WGqr6r00R9cRFn,anonymous,EN,"A school/commercial business/and/or my place of work,Friends/family/and/or neighbors,Mailed pamphlets/flyers/or newsletters","Mailed pamphlets/flyers/or newsletters,Information on my recycling cart",Recycling Cart,Trash Cart,"Recycling Cart,Take to Drop-off Recycling Center",Recycling Cart,Trash Cart,Recycling Cart,Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Recycling Cart,Take to Drop-off Recycling Center,Trash Cart,Take to Drop-off Recycling Center,Extremely unlikely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely likely,Extremely unlikely,Neither likely nor unlikely,Rejected by the recycling collectors before pick-up.,Rejected by the recycling collectors before pick-up.,Search or call for information to find out if the item is recyclable or not.
2020-10-19,12:33:25,2020-10-19,12:37:43,IP Address,100,257,True,2020-10-19 12:37:43,R_3fjTI6foFlWsi8a,anonymous,EN,Mailed pamphlets/flyers/or newsletters,Mailed pamphlets/flyers/or newsletters,Recycling Cart,Trash Cart,Recycling Cart,Recycling Cart,Other (such as can and bottle return or compost),Recycling Cart,Take to Drop-off Recycling Center,Other (such as can and bottle return or compost),Other (such as can and bottle return or compost),Recycling Cart,Recycling Cart,Trash Cart,Other (such as can and bottle return or compost),Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,Extremely unlikely,Somewhat likely,I am unsure of what happens to unwashed recyclable items.,Taken out of the bags by the recycling center after pick-up.,Dispose of the item in the trash.
