responseid,recyclable_paper_disposal,trash,recycle,dropoff,other
R_22wQpmE7t8aNRZw,Recycling Cart,False,True,False,False
R_3EEC995yU4ZjGjR,Recycling Cart,False,True,False,False
R_21EQnB8dSzsKVfk,Recycling Cart,False,True,False,False
R_1H1Vw5z4scuxeDR,Recycling Cart,False,True,False,False
R_1PY1cGY3K4Pp589,Recycling Cart,False,True,False,False
R_1H1amT7gltHB81c,Recycling Cart,False,True,False,False
R_1CxbLod3wAaFYBP,Recycling Cart,False,True,False,False
R_UXFfvIQeOFQKZ5n,Recycling Cart,False,True,False,False
R_2pQYyMG4dzX0OE6,Recycling Cart,False,True,False,False
R_2VDSkW88jjDy4yq,Recycling Cart,False,True,False,False
R_3ITaqOxDj5RItE7,Recycling Cart,False,True,False,False
R_1hFr1gxvqvJVX56,Recycling Cart,False,True,False,False
R_1dfZpRDrv2rY7jR,"Trash Cart,Recycling Cart",True,True,False,False
R_33e5mQ65Tg1UdCK,NA,False,False,False,False
R_74ck1s16gme4s49,Recycling Cart,False,True,False,False
R_1fkmHqSIqoB97ou,Recycling Cart,False,True,False,False
R_2axHFpThijbRi4d,Recycling Cart,False,True,False,False
R_3NCE5vaAX0073xW,Recycling Cart,False,True,False,False
R_3DvSxJbuBMglw7z,Recycling Cart,False,True,False,False
R_5opRzgT1yJnEJ0J,Recycling Cart,False,True,False,False
R_1kUIT1SILd60pyU,Recycling Cart,False,True,False,False
R_9ZuknWLhbVqOybf,Recycling Cart,False,True,False,False
R_1FLjhf2sFI44Cf4,Recycling Cart,False,True,False,False
R_vMLDrYTdfCabRjX,Recycling Cart,False,True,False,False
R_25swR7JzvEq9fSC,Recycling Cart,False,True,False,False
R_3qg5G8KDEhDNLsx,Recycling Cart,False,True,False,False
R_2uD0ALI9QOcgGvy,Recycling Cart,False,True,False,False
R_1FETsu2RRPPeIJT,Recycling Cart,False,True,False,False
R_3ixPUKbQWLsfetW,Recycling Cart,False,True,False,False
R_1mUcb0Hh0r5qucC,Recycling Cart,False,True,False,False
R_2PAmevHIHLgziO3,"Trash Cart,Recycling Cart",True,True,False,False
R_2Sddp0F6fYGZyHA,Recycling Cart,False,True,False,False
R_3knpGQ9G5ryIutp,Recycling Cart,False,True,False,False
R_7NVNNKqoitRQUgx,Recycling Cart,False,True,False,False
R_2w1tsFF4dkvUfKp,Recycling Cart,False,True,False,False
R_3RjBa6MGSs4do0w,Recycling Cart,False,True,False,False
R_2rSBq7AyNy1tQyA,Recycling Cart,False,True,False,False
R_1mlbPGlXYxOItvW,Recycling Cart,False,True,False,False
R_1FfHXjJCrVBsKDT,Recycling Cart,False,True,False,False
R_qLAjxtPeyqzAjwl,Recycling Cart,False,True,False,False
R_1rdfLkwq0zmQpq6,Recycling Cart,False,True,False,False
R_1F3a8tnE5Q8pGdi,Recycling Cart,False,True,False,False
R_3isEgheOJ7P7Me5,Recycling Cart,False,True,False,False
R_3sySnbgLzldFscH,Recycling Cart,False,True,False,False
R_3RxAAtDL9Lx4kR7,Recycling Cart,False,True,False,False
R_3nBlRCMp3NNYxHy,Recycling Cart,False,True,False,False
R_0wFPwZJvI678KjL,"Recycling Cart,Take to Drop-off Recycling Center",False,True,True,False
R_1cXO9BN8DVjD1id,Recycling Cart,False,True,False,False
R_O0Vqzd2lhofUuBj,Recycling Cart,False,True,False,False
R_1gumG0DM4oGOLwT,Recycling Cart,False,True,False,False
R_1rHV1Z1POlYzoTy,Recycling Cart,False,True,False,False
R_29v1kl7ODZPkbU5,Recycling Cart,False,True,False,False
R_PHAnDywGWw3nEIN,Trash Cart,True,False,False,False
R_By6LtI4TklIHVy9,Recycling Cart,False,True,False,False
R_2UhA1v3qaFrnJZP,Recycling Cart,False,True,False,False
R_3En9mcTwfuvDfOm,Recycling Cart,False,True,False,False
R_1mPlcrAhN4I8K7K,Recycling Cart,False,True,False,False
R_3321VFsdTPHrNf0,Recycling Cart,False,True,False,False
R_2s55Fi8dnA002Pt,Recycling Cart,False,True,False,False
R_5uUhGcsrjiE6x2x,Recycling Cart,False,True,False,False
R_C2KeQW0YotEvUDT,Recycling Cart,False,True,False,False
R_6s6jBcPw0NjkFi1,Recycling Cart,False,True,False,False
R_XGTNl5JQHsWQyQh,Recycling Cart,False,True,False,False
R_1FJwpfVTJekOqjh,Recycling Cart,False,True,False,False
R_3RwsYtSP9tdkYv1,Trash Cart,True,False,False,False
R_2VlkppxWDNp9fPk,Recycling Cart,False,True,False,False
R_8IeUzTJ78Vvwtb3,Recycling Cart,False,True,False,False
R_2qyGcToGDh4RaZ9,Recycling Cart,False,True,False,False
R_2zvycCkumzeZ52I,Trash Cart,True,False,False,False
R_UGAP20SuXpQA5nb,Recycling Cart,False,True,False,False
R_2qf2sxWPQ6hpy76,Recycling Cart,False,True,False,False
R_2uszpmMWAkulrn5,Recycling Cart,False,True,False,False
R_3KwQ7E4zbFsuJp9,Recycling Cart,False,True,False,False
R_11cfBkheKPcFiIz,Recycling Cart,False,True,False,False
R_2triF08YCXtQQiC,Recycling Cart,False,True,False,False
R_25YKUvS6s0IrEQn,Recycling Cart,False,True,False,False
R_3mfS4qfldItR359,Recycling Cart,False,True,False,False
R_1rk2aM9ptDxh0uw,Recycling Cart,False,True,False,False
R_2e2QOTM0MXgBdim,Recycling Cart,False,True,False,False
R_2SoVznHLXFp6AII,Recycling Cart,False,True,False,False
R_3nxx80KCxVLQAE3,Recycling Cart,False,True,False,False
R_3nCACOSRY2r0RhQ,Recycling Cart,False,True,False,False
R_3lQa3BonRlpagPA,Recycling Cart,False,True,False,False
R_115CzHpYpS1WSop,"Recycling Cart,Take to Drop-off Recycling Center",False,True,True,False
R_Ua8v5yZy7uRanBv,Recycling Cart,False,True,False,False
R_A1BsIL7IKYuo4Cd,Recycling Cart,False,True,False,False
R_1dtzY5QvyeFFXMY,Recycling Cart,False,True,False,False
R_1j9DiGmtVH60GjR,Recycling Cart,False,True,False,False
R_2zphRy3Bq8VAjZo,Recycling Cart,False,True,False,False
R_3IYw0HmXPuJiLqJ,Recycling Cart,False,True,False,False
R_e3cV1JzQCM0ZhaF,Recycling Cart,False,True,False,False
R_W8c6wtKmuOsIpuF,Recycling Cart,False,True,False,False
R_32LaDJwXmogR9Re,Recycling Cart,False,True,False,False
R_3FKbdxo1M9srOu4,Recycling Cart,False,True,False,False
R_3D17l1H8UgTXOco,"Trash Cart,Recycling Cart",True,True,False,False
R_41QK8DTODGOY6DD,Recycling Cart,False,True,False,False
R_1mkpJkQuzB0IDur,NA,False,False,False,False
R_u4XoVhnSfFl6biF,Recycling Cart,False,True,False,False
R_1IW1a19d7zMwG0z,Recycling Cart,False,True,False,False
R_2sZLkTb0C7mqclI,Recycling Cart,False,True,False,False
R_3QW1JgjCDwCmzuF,Recycling Cart,False,True,False,False
R_O7kuVKE4IHAWX61,Recycling Cart,False,True,False,False
R_3O9vFu3RD2D2mcQ,Recycling Cart,False,True,False,False
R_rkY7MxBeIzHcSnn,Recycling Cart,False,True,False,False
R_3MoPNoqjVeAbTkf,Recycling Cart,False,True,False,False
R_3iJQVFBVGoePjsK,Recycling Cart,False,True,False,False
R_23e2JVEuiqcVDVx,"Trash Cart,Recycling Cart",True,True,False,False
R_ebrOmhM9aYaOAud,Recycling Cart,False,True,False,False
R_WBcVryfMAsGHlKN,Recycling Cart,False,True,False,False
R_1KdNqEGF7C1sC5A,Recycling Cart,False,True,False,False
R_2q7SYWocftnQoLO,Recycling Cart,False,True,False,False
R_2fvWk64JXy6toFT,Recycling Cart,False,True,False,False
R_1iao6aZVvwVRUZe,Recycling Cart,False,True,False,False
R_yvSGUKZX3h6IhRT,Recycling Cart,False,True,False,False
R_3O8DZ6S5CTIFui5,Recycling Cart,False,True,False,False
R_2pLVAWKB9qAAVl0,Recycling Cart,False,True,False,False
R_zZjd6MDImpQpkhH,Recycling Cart,False,True,False,False
R_2zcF8zz3ZYq69tz,Recycling Cart,False,True,False,False
R_9Rd0JuuycBkDQOt,Recycling Cart,False,True,False,False
R_3GlYxrDjOzm1M4j,Recycling Cart,False,True,False,False
R_vDG1tVlinMDJCkV,Recycling Cart,False,True,False,False
R_32Qs9cMzDLZAl2t,Recycling Cart,False,True,False,False
R_1CJgsbXIRk3Dyrz,Recycling Cart,False,True,False,False
R_241chZlLK78NijR,Recycling Cart,False,True,False,False
R_syVnTb8o2REA4h3,Recycling Cart,False,True,False,False
R_2DYt3LblJG4lqV2,Recycling Cart,False,True,False,False
R_beghlvqjMEKgbyF,Recycling Cart,False,True,False,False
R_20Z47DpqH3l6p9J,Recycling Cart,False,True,False,False
R_305WoZEcIS1taJZ,Recycling Cart,False,True,False,False
R_2uWLK7FFPO2oztI,Recycling Cart,False,True,False,False
R_3dKd1cUJjNk9Pkg,Recycling Cart,False,True,False,False
R_3GexPYPKQpKU8B0,Take to Drop-off Recycling Center,False,False,True,False
R_21H8xMqquKAJNSy,Recycling Cart,False,True,False,False
R_3PAD3WW6ITltXpF,Recycling Cart,False,True,False,False
R_ah4EcyNtWq66M37,Recycling Cart,False,True,False,False
R_3Dpw0L93UJIdmK7,Recycling Cart,False,True,False,False
R_1In4KxUw0Pz7PsA,Recycling Cart,False,True,False,False
R_1eDiK2UAe4cmiJq,Recycling Cart,False,True,False,False
R_3D14QqYiBvt3TpJ,Recycling Cart,False,True,False,False
R_26liY8uMWCnVX5o,Recycling Cart,False,True,False,False
R_24XgynI8QAzzqa5,Recycling Cart,False,True,False,False
R_2Ysu9W0vTMaHkXd,Recycling Cart,False,True,False,False
R_3M6xu1HlGTazaU9,Recycling Cart,False,True,False,False
R_2eQohTuKX3RGs3N,Recycling Cart,False,True,False,False
R_VImxwgvSIol6MmZ,Recycling Cart,False,True,False,False
R_tKz0JJQUD5cKVl7,Recycling Cart,False,True,False,False
R_1EX1zItlbW69btm,Recycling Cart,False,True,False,False
R_1OBo20X7Pdlzlg2,Recycling Cart,False,True,False,False
R_2Cwd9iwMC8fg36y,Recycling Cart,False,True,False,False
R_125X3q2z2JhdTVq,Recycling Cart,False,True,False,False
R_2TKSorrbMmrFTXH,Recycling Cart,False,True,False,False
R_28XNQHiIxj2PW34,Recycling Cart,False,True,False,False
R_1gSYe7XVgt2kDJr,Recycling Cart,False,True,False,False
R_3mkN4eQnhkCslLR,Recycling Cart,False,True,False,False
R_2xxHJJ9AwDo1Bm1,Recycling Cart,False,True,False,False
R_27lFBqdJmR5LB5A,Recycling Cart,False,True,False,False
R_9NddfSgkZ3pq8Ux,Recycling Cart,False,True,False,False
R_2OMF7fc7bhIodbN,Recycling Cart,False,True,False,False
R_su3qWsCKCZxc0bT,Recycling Cart,False,True,False,False
R_3NOsVEMugLqtAbS,"Recycling Cart,Take to Drop-off Recycling Center",False,True,True,False
R_3gUCE4YyhpF1aAP,Recycling Cart,False,True,False,False
R_curlDvGITFMGVtT,Recycling Cart,False,True,False,False
R_BsTjeGGWI3N2qXv,Recycling Cart,False,True,False,False
R_3J9hPQY5ctlQzbT,Recycling Cart,False,True,False,False
R_3rUTiormaSjiFMv,Recycling Cart,False,True,False,False
R_qCMghZP7hvCgXw5,Recycling Cart,False,True,False,False
R_2rDiDMwImMf867I,Recycling Cart,False,True,False,False
R_2arhxjkK8zDykjj,Recycling Cart,False,True,False,False
R_2cnI4kyXYeHumuQ,"Trash Cart,Recycling Cart",True,True,False,False
R_2ipFBXCAbJr6j6h,Recycling Cart,False,True,False,False
R_1Cg1yYgxH72In85,Recycling Cart,False,True,False,False
R_238DceOUScTxWxr,Recycling Cart,False,True,False,False
R_SMD70HS3re3JXWN,Recycling Cart,False,True,False,False
R_2z7IteDW5O55vUZ,Recycling Cart,False,True,False,False
R_AiHvKEfQU0UdIf7,Recycling Cart,False,True,False,False
R_3CH3O30a962aoyh,Recycling Cart,False,True,False,False
R_1isacs1uPjnBq6e,Recycling Cart,False,True,False,False
R_1rH68YgAhstYvPk,Recycling Cart,False,True,False,False
R_p4N0BcQsffCRJ8R,Recycling Cart,False,True,False,False
R_2rA57M2VlfuRR3l,Recycling Cart,False,True,False,False
R_2b1oF8BOfzRcYSB,Recycling Cart,False,True,False,False
R_1irmPf9ZJxatNSw,Recycling Cart,False,True,False,False
R_xhCdrOV2cUkcWnn,Take to Drop-off Recycling Center,False,False,True,False
R_1Cp6BY9f4xRVwSu,Recycling Cart,False,True,False,False
R_3fis8Z0Vfnd0rRM,Recycling Cart,False,True,False,False
R_32WpgQ1QA5Ljk2L,Recycling Cart,False,True,False,False
R_2qslbLaLTpP54M4,Trash Cart,True,False,False,False
R_3jezfRQ094qsMtP,Recycling Cart,False,True,False,False
R_AgL5Sk8obLyKXwR,Recycling Cart,False,True,False,False
R_3lKeWUujAcQNNUY,"Trash Cart,Recycling Cart",True,True,False,False
R_3EAxgqqCRQBjNXB,Recycling Cart,False,True,False,False
R_1opafvCscbjdmSp,Recycling Cart,False,True,False,False
R_2xJzsLxgzvSqKo5,Recycling Cart,False,True,False,False
R_3MLnb5mDiwhwwFk,Recycling Cart,False,True,False,False
R_3GvSiRej4oj4hIm,Recycling Cart,False,True,False,False
R_XFz7gfdKWRtILL3,Recycling Cart,False,True,False,False
R_25LV3fqkDEPNHxJ,Recycling Cart,False,True,False,False
R_3EYBI8qZ5L8xI2D,Recycling Cart,False,True,False,False
R_2YFyVTyAmL0gE0A,Recycling Cart,False,True,False,False
R_2OW3G6P6FX5f1L8,Recycling Cart,False,True,False,False
R_3m4WwIGrONAHMPz,Recycling Cart,False,True,False,False
R_PvYD2FzWdbb9kfT,Recycling Cart,False,True,False,False
R_33xm2Ts2voco948,Recycling Cart,False,True,False,False
R_2VC4inzlj4hK9yk,Recycling Cart,False,True,False,False
R_22ofAI05Nb7pJhQ,Recycling Cart,False,True,False,False
R_9v2HRUkD5b6P7Oh,Recycling Cart,False,True,False,False
R_1jery6gMn5igTgT,"Trash Cart,Recycling Cart",True,True,False,False
R_0J05cw0anbnEx9L,Recycling Cart,False,True,False,False
R_248hvBxBEHG8IyK,Recycling Cart,False,True,False,False
R_33kZ1yDCBqUsSps,Recycling Cart,False,True,False,False
R_3Li2plAbXbO7J6u,Recycling Cart,False,True,False,False
R_1pSvMleQx8pWUTd,Recycling Cart,False,True,False,False
R_2BhNyFLjcEypaHw,Recycling Cart,False,True,False,False
R_3kv7eB51QY91g0J,Recycling Cart,False,True,False,False
R_2EyhtnVt1iUNtST,Recycling Cart,False,True,False,False
R_1pVtNJ1CPl3f3LH,Recycling Cart,False,True,False,False
R_3nrBmfkVOh7TKlb,Recycling Cart,False,True,False,False
R_2D7em0FlxS3XgLR,Recycling Cart,False,True,False,False
R_28YD2wk4QiTilso,Recycling Cart,False,True,False,False
R_0llLAx6357oOXbb,Recycling Cart,False,True,False,False
R_1eQu5aZqnTai2d8,Recycling Cart,False,True,False,False
R_2D6PFil7c2zCnfX,Recycling Cart,False,True,False,False
R_yJ7sVvc9iLkLeX7,Recycling Cart,False,True,False,False
R_1NyU2A8yKpCgP6X,Recycling Cart,False,True,False,False
R_27DzDbtFUFi8ply,Recycling Cart,False,True,False,False
R_pQ61HB544mdfk2d,Recycling Cart,False,True,False,False
R_1Q9gjcfS3RqNG58,Recycling Cart,False,True,False,False
R_QlU3IHeoF3t27bb,Recycling Cart,False,True,False,False
R_6DNR2rnwKRXbosh,"Recycling Cart,Take to Drop-off Recycling Center",False,True,True,False
R_3kO2QK1355nrpx4,"Recycling Cart,Take to Drop-off Recycling Center",False,True,True,False
R_1LBBMChyqH8jAl5,Recycling Cart,False,True,False,False
R_b2BPStkZRjp50I1,Recycling Cart,False,True,False,False
R_ZLa1fnBV11IBFHH,Recycling Cart,False,True,False,False
R_zSfG4ln5iTQYcw1,Recycling Cart,False,True,False,False
R_2dp4wt3meEgb6Lh,Recycling Cart,False,True,False,False
R_2UW8CUZH7AdVxUp,Recycling Cart,False,True,False,False
R_x3l7QO5YRROcwzn,Recycling Cart,False,True,False,False
R_s4OSbLYTiyxzqq5,Recycling Cart,False,True,False,False
R_2411MMgGw3Eq69l,Recycling Cart,False,True,False,False
R_AKUt4FCJpEatiE1,Recycling Cart,False,True,False,False
R_1gAUX9FgOj2pGaL,"Recycling Cart,Take to Drop-off Recycling Center",False,True,True,False
R_1Cg8sH0X7dOF31H,Recycling Cart,False,True,False,False
R_aXH1EomfPHUVi2l,Recycling Cart,False,True,False,False
R_afaDQNcRPEoxqOR,Recycling Cart,False,True,False,False
R_3Jfa8nMPvf2WiUz,Recycling Cart,False,True,False,False
R_25L3ZoCGTioHri1,Recycling Cart,False,True,False,False
R_2asKoYSjry622Ou,Take to Drop-off Recycling Center,False,False,True,False
R_3kcgHeAUxOU4MaL,Recycling Cart,False,True,False,False
R_25LVJiFxFwZVcW1,Recycling Cart,False,True,False,False
R_QoJQfO75mh0K0Bb,Recycling Cart,False,True,False,False
R_1j6rTddQu31fGwf,Recycling Cart,False,True,False,False
R_3HuF3RXs0xFcEgi,Recycling Cart,False,True,False,False
R_1E7mOoAiv3JMQrB,Recycling Cart,False,True,False,False
R_1JQiiGEjuCrmyya,Recycling Cart,False,True,False,False
R_Z1PpITBwi5M33nb,Recycling Cart,False,True,False,False
R_3s5CHiWOAwJ7ntb,Recycling Cart,False,True,False,False
R_2SHbYgJoGPW7rmN,Recycling Cart,False,True,False,False
R_2P75o9iWmBe4IFP,Recycling Cart,False,True,False,False
R_10DIRrwFOD7rljt,Recycling Cart,False,True,False,False
R_Op14qf9MHqgtylX,Recycling Cart,False,True,False,False
R_71EqukmDA788fm1,Recycling Cart,False,True,False,False
R_RkrAKdE1DjhgSBP,Recycling Cart,False,True,False,False
R_1PSoW7NgtfCg600,Recycling Cart,False,True,False,False
R_3JERjxv7n52ux8s,Recycling Cart,False,True,False,False
R_3IRyeswPe00Hm1X,Recycling Cart,False,True,False,False
R_3nwn3pYaKQFqAjA,Recycling Cart,False,True,False,False
R_AoqYwbRuBlhQUXT,NA,False,False,False,False
R_1NfKJaKDnnAKKY1,Recycling Cart,False,True,False,False
R_1MlygV5Ths79Lyh,Recycling Cart,False,True,False,False
R_1fdPI4qdkAMUPPI,Recycling Cart,False,True,False,False
R_2xP3BNFNPaTL92z,Recycling Cart,False,True,False,False
R_Wle0qI3Y2CIqIxj,Recycling Cart,False,True,False,False
R_31nIZxbK1Kzl1kp,Recycling Cart,False,True,False,False
R_1dgL8LABcTTDxu2,Recycling Cart,False,True,False,False
R_oZzezbBQysooMox,Recycling Cart,False,True,False,False
R_1Quf4EjEsCnPAbe,"Trash Cart,Recycling Cart,Other (such as can and bottle return or compost)",True,True,False,True
R_qItmsukxOgUfDEt,Recycling Cart,False,True,False,False
R_tDS5GhcVB1ySa9b,Recycling Cart,False,True,False,False
R_1cSOQ8o0mP4tuzf,Recycling Cart,False,True,False,False
R_33wh7rzcGW7Rw0P,Recycling Cart,False,True,False,False
R_6ygCmr5Aq47ePHX,Recycling Cart,False,True,False,False
R_1gngWVLSyxnI4We,Recycling Cart,False,True,False,False
R_3QDBoumpZ1zbRTt,Recycling Cart,False,True,False,False
R_1QhYk36Nni16x9W,Recycling Cart,False,True,False,False
R_272Vu3yKZas06hV,Recycling Cart,False,True,False,False
R_3lAKaD3pfNUPcdr,Recycling Cart,False,True,False,False
R_31ATZ3iCca6SCJf,Recycling Cart,False,True,False,False
R_20SgdIkT1m2L5yC,Recycling Cart,False,True,False,False
R_BywKRni64zwMAIp,Recycling Cart,False,True,False,False
R_1mXwhSzht4Q9Luw,"Trash Cart,Recycling Cart",True,True,False,False
R_2ctRQHKnOky1zwW,Recycling Cart,False,True,False,False
R_3rTjclHZrvGqJiw,Recycling Cart,False,True,False,False
R_2EtuhD3sL7ZMopd,Recycling Cart,False,True,False,False
R_3O160iKRafC0phA,Recycling Cart,False,True,False,False
R_T6lbRY3FBNwGGqJ,Recycling Cart,False,True,False,False
R_2VvxLj6rY4u0X3Z,Recycling Cart,False,True,False,False
R_w7V3lmRJ1g76A7L,Recycling Cart,False,True,False,False
R_3O1vo0TSVvTf06F,Recycling Cart,False,True,False,False
R_eFGZ7HinHAcx3J7,Recycling Cart,False,True,False,False
R_1N3NzNZRYEtxmei,Recycling Cart,False,True,False,False
R_8e1AbnoBy1K9AL7,Recycling Cart,False,True,False,False
R_3iFuogFuyw3qi5j,Recycling Cart,False,True,False,False
R_1DMDzMnBg0H2ej3,Recycling Cart,False,True,False,False
R_3jVgFAVd5wVvFdC,Recycling Cart,False,True,False,False
R_pAbja210EwcSuZz,"Recycling Cart,Take to Drop-off Recycling Center,Other (such as can and bottle return or compost)",False,True,True,True
R_TbX9npjT6KHAYUx,"Trash Cart,Recycling Cart,Take to Drop-off Recycling Center,Other (such as can and bottle return or compost)",True,True,True,True
R_2bP2YH08feJHGsK,Recycling Cart,False,True,False,False
R_21vTsDRphwCeJlo,Recycling Cart,False,True,False,False
R_0x3H9Wp4bfcOhl7,"Recycling Cart,Take to Drop-off Recycling Center",False,True,True,False
R_1FCVn18TaZRKeKM,Recycling Cart,False,True,False,False
R_2ur3OYF84qkTKAR,Recycling Cart,False,True,False,False
R_eg77MJYje16owmt,Recycling Cart,False,True,False,False
R_vVOOHl5w74hCCA1,Recycling Cart,False,True,False,False
R_1JEp3GUrukQJPeq,Recycling Cart,False,True,False,False
R_3IbfpoQCG4S2h7q,"Trash Cart,Recycling Cart",True,True,False,False
R_1pJOD7oR8FVIGHh,Recycling Cart,False,True,False,False
R_3nIcWnv3GxJDk1V,"Trash Cart,Recycling Cart",True,True,False,False
R_3lJt1qZDrcPmgiW,Recycling Cart,False,True,False,False
R_0Mz69uR9k9vtMhH,Recycling Cart,False,True,False,False
R_3hiITL8ObapeAZ7,Trash Cart,True,False,False,False
R_3Mz1Cxck9NoCx69,Recycling Cart,False,True,False,False
R_3nVKsAeifhrIugV,Recycling Cart,False,True,False,False
R_5bYXsj56pU7f6cV,Recycling Cart,False,True,False,False
R_1Q3jy1tpQx1TKUe,Recycling Cart,False,True,False,False
R_1ohbkP5PtYiuPmr,Recycling Cart,False,True,False,False
R_3PYqb18pSKy7lhp,Recycling Cart,False,True,False,False
R_1dtxnQ5xSjBsyQE,Recycling Cart,False,True,False,False
R_290UNrNX5Oi3Lhn,Recycling Cart,False,True,False,False
R_2trr358i8FgTE7w,Recycling Cart,False,True,False,False
R_1K6ATaM7vI4BcRD,Recycling Cart,False,True,False,False
R_1lhgGvTNWBGshoI,Trash Cart,True,False,False,False
R_1jlcq7aJbp5r1lh,NA,False,False,False,False
R_1HpEn98o6udx7Ub,Recycling Cart,False,True,False,False
R_2q2xkp8MGGJWxOB,Recycling Cart,False,True,False,False
R_2t9eluYQzyPkLZN,Recycling Cart,False,True,False,False
R_3lWXInooCt5AxMk,Recycling Cart,False,True,False,False
R_2D5DnYAGYLuaRHn,"Trash Cart,Recycling Cart",True,True,False,False
R_et80dan6Ef8kFEt,Recycling Cart,False,True,False,False
R_2VmePXR4Q5QsWOF,"Trash Cart,Recycling Cart",True,True,False,False
R_3NINTRRxUUm0iMk,Recycling Cart,False,True,False,False
R_Rt86S0YxH1NkS8p,Recycling Cart,False,True,False,False
R_yIn9qXmbRP9mmfT,Recycling Cart,False,True,False,False
R_6sCdOxXdi41nIVr,Recycling Cart,False,True,False,False
R_3drRvB9qjbxxHXj,Recycling Cart,False,True,False,False
R_3stZoCEhtHdYEv7,Recycling Cart,False,True,False,False
R_CjdYvp0hSrfyrHr,Recycling Cart,False,True,False,False
R_Df4j2oKjbx2X8sx,Recycling Cart,False,True,False,False
R_3PplAruzLhnrpq9,Recycling Cart,False,True,False,False
R_2QS90n0J3CkpXwU,Recycling Cart,False,True,False,False
R_A7e9aYuaP55WUsF,Recycling Cart,False,True,False,False
R_Q660StJyZoh1L5T,Recycling Cart,False,True,False,False
R_3yBqQpmbVGshha9,Recycling Cart,False,True,False,False
R_C84dQq259jLpO8N,Recycling Cart,False,True,False,False
R_3Eu0VjnnWUqrmfq,Recycling Cart,False,True,False,False
R_cZ7x3su4cZtoGqd,Recycling Cart,False,True,False,False
R_3Ea8yi3UX1CHZgm,Recycling Cart,False,True,False,False
R_DOAXv6EFqEA8lcR,Recycling Cart,False,True,False,False
R_BuhiyXPqmlzoLe1,Recycling Cart,False,True,False,False
R_2DT5y1bdb749YTF,Recycling Cart,False,True,False,False
R_3DpyyQ5oN0DGLPR,Recycling Cart,False,True,False,False
R_1oHJcf4ecInDPxg,Recycling Cart,False,True,False,False
R_1NhubF3cXhwvowZ,Recycling Cart,False,True,False,False
R_Ado3IVhorJjHdCh,Recycling Cart,False,True,False,False
R_1LRsd74Lmf0vUAk,Recycling Cart,False,True,False,False
R_3PpYOisHeizVCF5,Recycling Cart,False,True,False,False
R_2OHeOTGM58dFZNO,Recycling Cart,False,True,False,False
R_1HiPZ5ABrguLMnZ,Recycling Cart,False,True,False,False
R_1gC7uJJ7xmIAKZp,Recycling Cart,False,True,False,False
R_0vP8B5eAqk9Wfmx,Recycling Cart,False,True,False,False
R_3RybQo6fuO5hFJJ,Recycling Cart,False,True,False,False
R_2TtVDbRXPz15H2u,"Trash Cart,Recycling Cart",True,True,False,False
R_1PTAnQAImfOHR2A,Recycling Cart,False,True,False,False
