responseid,specialty_metals_disposal,trash,recycle,dropoff,other
R_W8c6wtKmuOsIpuF,Trash Cart,True,False,False,False
R_32LaDJwXmogR9Re,Trash Cart,True,False,False,False
R_3FKbdxo1M9srOu4,Take to Drop-off Recycling Center,False,False,True,False
R_3D17l1H8UgTXOco,Trash Cart,True,False,False,False
R_41QK8DTODGOY6DD,Trash Cart,True,False,False,False
R_1mkpJkQuzB0IDur,Trash Cart,True,False,False,False
R_u4XoVhnSfFl6biF,Trash Cart,True,False,False,False
R_1IW1a19d7zMwG0z,Trash Cart,True,False,False,False
R_2sZLkTb0C7mqclI,Trash Cart,True,False,False,False
R_3QW1JgjCDwCmzuF,Other (such as can and bottle return or compost),False,False,False,True
R_O7kuVKE4IHAWX61,Trash Cart,True,False,False,False
R_3O9vFu3RD2D2mcQ,Take to Drop-off Recycling Center,False,False,True,False
R_rkY7MxBeIzHcSnn,NA,False,False,False,False
R_3MoPNoqjVeAbTkf,NA,False,False,False,False
R_3iJQVFBVGoePjsK,Take to Drop-off Recycling Center,False,False,True,False
R_23e2JVEuiqcVDVx,"Take to Drop-off Recycling Center,Other (such as can and bottle return or compost)",False,False,True,True
R_ebrOmhM9aYaOAud,Other (such as can and bottle return or compost),False,False,False,True
R_WBcVryfMAsGHlKN,Other (such as can and bottle return or compost),False,False,False,True
R_1KdNqEGF7C1sC5A,Recycling Cart,False,True,False,False
R_2q7SYWocftnQoLO,Recycling Cart,False,True,False,False
R_2fvWk64JXy6toFT,Other (such as can and bottle return or compost),False,False,False,True
R_1iao6aZVvwVRUZe,Take to Drop-off Recycling Center,False,False,True,False
R_yvSGUKZX3h6IhRT,Take to Drop-off Recycling Center,False,False,True,False
R_3O8DZ6S5CTIFui5,Recycling Cart,False,True,False,False
R_2pLVAWKB9qAAVl0,Recycling Cart,False,True,False,False
R_zZjd6MDImpQpkhH,Take to Drop-off Recycling Center,False,False,True,False
R_2zcF8zz3ZYq69tz,Take to Drop-off Recycling Center,False,False,True,False
R_9Rd0JuuycBkDQOt,Trash Cart,True,False,False,False
R_3GlYxrDjOzm1M4j,Trash Cart,True,False,False,False
R_vDG1tVlinMDJCkV,Take to Drop-off Recycling Center,False,False,True,False
R_32Qs9cMzDLZAl2t,Take to Drop-off Recycling Center,False,False,True,False
R_1CJgsbXIRk3Dyrz,Trash Cart,True,False,False,False
R_241chZlLK78NijR,Take to Drop-off Recycling Center,False,False,True,False
R_syVnTb8o2REA4h3,Trash Cart,True,False,False,False
R_2DYt3LblJG4lqV2,Trash Cart,True,False,False,False
R_beghlvqjMEKgbyF,Take to Drop-off Recycling Center,False,False,True,False
R_20Z47DpqH3l6p9J,Trash Cart,True,False,False,False
R_305WoZEcIS1taJZ,Take to Drop-off Recycling Center,False,False,True,False
R_2uWLK7FFPO2oztI,Take to Drop-off Recycling Center,False,False,True,False
R_3dKd1cUJjNk9Pkg,Recycling Cart,False,True,False,False
R_3GexPYPKQpKU8B0,Take to Drop-off Recycling Center,False,False,True,False
R_21H8xMqquKAJNSy,Take to Drop-off Recycling Center,False,False,True,False
R_3PAD3WW6ITltXpF,Trash Cart,True,False,False,False
R_ah4EcyNtWq66M37,Other (such as can and bottle return or compost),False,False,False,True
R_3Dpw0L93UJIdmK7,Trash Cart,True,False,False,False
R_1In4KxUw0Pz7PsA,Recycling Cart,False,True,False,False
R_1eDiK2UAe4cmiJq,Other (such as can and bottle return or compost),False,False,False,True
R_3D14QqYiBvt3TpJ,Trash Cart,True,False,False,False
R_26liY8uMWCnVX5o,Trash Cart,True,False,False,False
R_24XgynI8QAzzqa5,Recycling Cart,False,True,False,False
R_2Ysu9W0vTMaHkXd,Other (such as can and bottle return or compost),False,False,False,True
R_3M6xu1HlGTazaU9,Take to Drop-off Recycling Center,False,False,True,False
R_2eQohTuKX3RGs3N,NA,False,False,False,False
R_VImxwgvSIol6MmZ,Trash Cart,True,False,False,False
R_tKz0JJQUD5cKVl7,"Trash Cart,Recycling Cart,Take to Drop-off Recycling Center",True,True,True,False
R_1EX1zItlbW69btm,Trash Cart,True,False,False,False
R_1OBo20X7Pdlzlg2,Take to Drop-off Recycling Center,False,False,True,False
R_2Cwd9iwMC8fg36y,Other (such as can and bottle return or compost),False,False,False,True
R_125X3q2z2JhdTVq,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_2TKSorrbMmrFTXH,Trash Cart,True,False,False,False
R_28XNQHiIxj2PW34,Other (such as can and bottle return or compost),False,False,False,True
R_1gSYe7XVgt2kDJr,Take to Drop-off Recycling Center,False,False,True,False
R_3mkN4eQnhkCslLR,Other (such as can and bottle return or compost),False,False,False,True
R_2xxHJJ9AwDo1Bm1,Trash Cart,True,False,False,False
R_27lFBqdJmR5LB5A,Take to Drop-off Recycling Center,False,False,True,False
R_9NddfSgkZ3pq8Ux,Trash Cart,True,False,False,False
R_2OMF7fc7bhIodbN,Take to Drop-off Recycling Center,False,False,True,False
R_su3qWsCKCZxc0bT,Trash Cart,True,False,False,False
R_3NOsVEMugLqtAbS,"Take to Drop-off Recycling Center,Other (such as can and bottle return or compost)",False,False,True,True
R_3gUCE4YyhpF1aAP,Other (such as can and bottle return or compost),False,False,False,True
R_curlDvGITFMGVtT,Trash Cart,True,False,False,False
R_BsTjeGGWI3N2qXv,Recycling Cart,False,True,False,False
R_3J9hPQY5ctlQzbT,Take to Drop-off Recycling Center,False,False,True,False
R_3rUTiormaSjiFMv,Take to Drop-off Recycling Center,False,False,True,False
R_qCMghZP7hvCgXw5,NA,False,False,False,False
R_2rDiDMwImMf867I,Other (such as can and bottle return or compost),False,False,False,True
R_2arhxjkK8zDykjj,Take to Drop-off Recycling Center,False,False,True,False
R_2cnI4kyXYeHumuQ,Trash Cart,True,False,False,False
R_2ipFBXCAbJr6j6h,Take to Drop-off Recycling Center,False,False,True,False
R_1Cg1yYgxH72In85,Trash Cart,True,False,False,False
R_238DceOUScTxWxr,Recycling Cart,False,True,False,False
R_SMD70HS3re3JXWN,Trash Cart,True,False,False,False
R_2z7IteDW5O55vUZ,Recycling Cart,False,True,False,False
R_AiHvKEfQU0UdIf7,Other (such as can and bottle return or compost),False,False,False,True
R_3CH3O30a962aoyh,Take to Drop-off Recycling Center,False,False,True,False
R_1isacs1uPjnBq6e,Trash Cart,True,False,False,False
R_1rH68YgAhstYvPk,Take to Drop-off Recycling Center,False,False,True,False
R_p4N0BcQsffCRJ8R,Recycling Cart,False,True,False,False
R_2rA57M2VlfuRR3l,Take to Drop-off Recycling Center,False,False,True,False
R_2b1oF8BOfzRcYSB,"Trash Cart,Other (such as can and bottle return or compost)",True,False,False,True
R_1irmPf9ZJxatNSw,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_xhCdrOV2cUkcWnn,Trash Cart,True,False,False,False
R_1Cp6BY9f4xRVwSu,Take to Drop-off Recycling Center,False,False,True,False
R_3fis8Z0Vfnd0rRM,Take to Drop-off Recycling Center,False,False,True,False
R_32WpgQ1QA5Ljk2L,Other (such as can and bottle return or compost),False,False,False,True
R_2qslbLaLTpP54M4,Take to Drop-off Recycling Center,False,False,True,False
R_3jezfRQ094qsMtP,Take to Drop-off Recycling Center,False,False,True,False
R_AgL5Sk8obLyKXwR,Take to Drop-off Recycling Center,False,False,True,False
R_3lKeWUujAcQNNUY,Take to Drop-off Recycling Center,False,False,True,False
R_3EAxgqqCRQBjNXB,Other (such as can and bottle return or compost),False,False,False,True
R_1opafvCscbjdmSp,Take to Drop-off Recycling Center,False,False,True,False
R_2xJzsLxgzvSqKo5,Recycling Cart,False,True,False,False
R_3MLnb5mDiwhwwFk,Trash Cart,True,False,False,False
R_3GvSiRej4oj4hIm,Take to Drop-off Recycling Center,False,False,True,False
R_XFz7gfdKWRtILL3,Trash Cart,True,False,False,False
R_25LV3fqkDEPNHxJ,"Trash Cart,Recycling Cart",True,True,False,False
R_3EYBI8qZ5L8xI2D,Other (such as can and bottle return or compost),False,False,False,True
R_2YFyVTyAmL0gE0A,Trash Cart,True,False,False,False
R_2OW3G6P6FX5f1L8,Take to Drop-off Recycling Center,False,False,True,False
R_3m4WwIGrONAHMPz,Trash Cart,True,False,False,False
R_PvYD2FzWdbb9kfT,Take to Drop-off Recycling Center,False,False,True,False
R_33xm2Ts2voco948,Take to Drop-off Recycling Center,False,False,True,False
R_2VC4inzlj4hK9yk,Trash Cart,True,False,False,False
R_22ofAI05Nb7pJhQ,Take to Drop-off Recycling Center,False,False,True,False
R_9v2HRUkD5b6P7Oh,NA,False,False,False,False
R_1jery6gMn5igTgT,Trash Cart,True,False,False,False
R_0J05cw0anbnEx9L,Recycling Cart,False,True,False,False
R_248hvBxBEHG8IyK,Trash Cart,True,False,False,False
R_33kZ1yDCBqUsSps,Take to Drop-off Recycling Center,False,False,True,False
R_3Li2plAbXbO7J6u,Trash Cart,True,False,False,False
R_1pSvMleQx8pWUTd,Trash Cart,True,False,False,False
R_2BhNyFLjcEypaHw,Take to Drop-off Recycling Center,False,False,True,False
R_3kv7eB51QY91g0J,Take to Drop-off Recycling Center,False,False,True,False
R_2EyhtnVt1iUNtST,Trash Cart,True,False,False,False
R_1pVtNJ1CPl3f3LH,Take to Drop-off Recycling Center,False,False,True,False
R_3nrBmfkVOh7TKlb,Other (such as can and bottle return or compost),False,False,False,True
R_2D7em0FlxS3XgLR,NA,False,False,False,False
R_28YD2wk4QiTilso,Other (such as can and bottle return or compost),False,False,False,True
R_0llLAx6357oOXbb,Trash Cart,True,False,False,False
R_1eQu5aZqnTai2d8,NA,False,False,False,False
R_2D6PFil7c2zCnfX,Take to Drop-off Recycling Center,False,False,True,False
R_yJ7sVvc9iLkLeX7,"Recycling Cart,Other (such as can and bottle return or compost)",False,True,False,True
R_1NyU2A8yKpCgP6X,Take to Drop-off Recycling Center,False,False,True,False
R_27DzDbtFUFi8ply,Other (such as can and bottle return or compost),False,False,False,True
R_pQ61HB544mdfk2d,Take to Drop-off Recycling Center,False,False,True,False
R_1Q9gjcfS3RqNG58,Trash Cart,True,False,False,False
R_QlU3IHeoF3t27bb,Take to Drop-off Recycling Center,False,False,True,False
R_6DNR2rnwKRXbosh,Take to Drop-off Recycling Center,False,False,True,False
R_3kO2QK1355nrpx4,Take to Drop-off Recycling Center,False,False,True,False
R_1LBBMChyqH8jAl5,Trash Cart,True,False,False,False
R_b2BPStkZRjp50I1,Recycling Cart,False,True,False,False
R_ZLa1fnBV11IBFHH,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_zSfG4ln5iTQYcw1,Other (such as can and bottle return or compost),False,False,False,True
R_2dp4wt3meEgb6Lh,Trash Cart,True,False,False,False
R_2UW8CUZH7AdVxUp,Other (such as can and bottle return or compost),False,False,False,True
R_x3l7QO5YRROcwzn,Take to Drop-off Recycling Center,False,False,True,False
R_s4OSbLYTiyxzqq5,Take to Drop-off Recycling Center,False,False,True,False
R_2411MMgGw3Eq69l,"Trash Cart,Recycling Cart",True,True,False,False
R_AKUt4FCJpEatiE1,Take to Drop-off Recycling Center,False,False,True,False
R_1gAUX9FgOj2pGaL,"Recycling Cart,Take to Drop-off Recycling Center",False,True,True,False
R_1Cg8sH0X7dOF31H,Take to Drop-off Recycling Center,False,False,True,False
R_aXH1EomfPHUVi2l,Trash Cart,True,False,False,False
R_afaDQNcRPEoxqOR,Take to Drop-off Recycling Center,False,False,True,False
R_3Jfa8nMPvf2WiUz,Recycling Cart,False,True,False,False
R_25L3ZoCGTioHri1,Take to Drop-off Recycling Center,False,False,True,False
R_2asKoYSjry622Ou,Take to Drop-off Recycling Center,False,False,True,False
R_3kcgHeAUxOU4MaL,Take to Drop-off Recycling Center,False,False,True,False
R_25LVJiFxFwZVcW1,Take to Drop-off Recycling Center,False,False,True,False
R_QoJQfO75mh0K0Bb,Take to Drop-off Recycling Center,False,False,True,False
R_1j6rTddQu31fGwf,"Trash Cart,Recycling Cart",True,True,False,False
R_3HuF3RXs0xFcEgi,Other (such as can and bottle return or compost),False,False,False,True
R_1E7mOoAiv3JMQrB,Other (such as can and bottle return or compost),False,False,False,True
R_1JQiiGEjuCrmyya,Recycling Cart,False,True,False,False
R_Z1PpITBwi5M33nb,Other (such as can and bottle return or compost),False,False,False,True
R_3s5CHiWOAwJ7ntb,Take to Drop-off Recycling Center,False,False,True,False
R_2SHbYgJoGPW7rmN,Recycling Cart,False,True,False,False
R_2P75o9iWmBe4IFP,Take to Drop-off Recycling Center,False,False,True,False
R_10DIRrwFOD7rljt,Recycling Cart,False,True,False,False
R_Op14qf9MHqgtylX,Take to Drop-off Recycling Center,False,False,True,False
R_71EqukmDA788fm1,Take to Drop-off Recycling Center,False,False,True,False
R_RkrAKdE1DjhgSBP,Recycling Cart,False,True,False,False
R_1PSoW7NgtfCg600,Take to Drop-off Recycling Center,False,False,True,False
R_3JERjxv7n52ux8s,Take to Drop-off Recycling Center,False,False,True,False
R_3IRyeswPe00Hm1X,Take to Drop-off Recycling Center,False,False,True,False
R_3nwn3pYaKQFqAjA,"Recycling Cart,Take to Drop-off Recycling Center",False,True,True,False
R_AoqYwbRuBlhQUXT,NA,False,False,False,False
R_1NfKJaKDnnAKKY1,Take to Drop-off Recycling Center,False,False,True,False
R_1MlygV5Ths79Lyh,Recycling Cart,False,True,False,False
R_1fdPI4qdkAMUPPI,Trash Cart,True,False,False,False
R_2xP3BNFNPaTL92z,Take to Drop-off Recycling Center,False,False,True,False
R_Wle0qI3Y2CIqIxj,Trash Cart,True,False,False,False
R_31nIZxbK1Kzl1kp,Take to Drop-off Recycling Center,False,False,True,False
R_1dgL8LABcTTDxu2,NA,False,False,False,False
R_oZzezbBQysooMox,Other (such as can and bottle return or compost),False,False,False,True
R_1Quf4EjEsCnPAbe,Other (such as can and bottle return or compost),False,False,False,True
R_qItmsukxOgUfDEt,Trash Cart,True,False,False,False
R_tDS5GhcVB1ySa9b,Trash Cart,True,False,False,False
R_1cSOQ8o0mP4tuzf,NA,False,False,False,False
R_33wh7rzcGW7Rw0P,Other (such as can and bottle return or compost),False,False,False,True
R_6ygCmr5Aq47ePHX,Other (such as can and bottle return or compost),False,False,False,True
R_1gngWVLSyxnI4We,Trash Cart,True,False,False,False
R_3QDBoumpZ1zbRTt,Recycling Cart,False,True,False,False
R_1QhYk36Nni16x9W,Trash Cart,True,False,False,False
R_272Vu3yKZas06hV,Take to Drop-off Recycling Center,False,False,True,False
R_3lAKaD3pfNUPcdr,Take to Drop-off Recycling Center,False,False,True,False
R_31ATZ3iCca6SCJf,Trash Cart,True,False,False,False
R_20SgdIkT1m2L5yC,Trash Cart,True,False,False,False
R_BywKRni64zwMAIp,Recycling Cart,False,True,False,False
R_1mXwhSzht4Q9Luw,Trash Cart,True,False,False,False
R_2ctRQHKnOky1zwW,Trash Cart,True,False,False,False
R_3rTjclHZrvGqJiw,Take to Drop-off Recycling Center,False,False,True,False
R_2EtuhD3sL7ZMopd,Trash Cart,True,False,False,False
R_3O160iKRafC0phA,Take to Drop-off Recycling Center,False,False,True,False
R_T6lbRY3FBNwGGqJ,Recycling Cart,False,True,False,False
R_2VvxLj6rY4u0X3Z,Other (such as can and bottle return or compost),False,False,False,True
R_w7V3lmRJ1g76A7L,Other (such as can and bottle return or compost),False,False,False,True
R_3O1vo0TSVvTf06F,Recycling Cart,False,True,False,False
R_eFGZ7HinHAcx3J7,Other (such as can and bottle return or compost),False,False,False,True
R_1N3NzNZRYEtxmei,Take to Drop-off Recycling Center,False,False,True,False
R_8e1AbnoBy1K9AL7,Other (such as can and bottle return or compost),False,False,False,True
R_3iFuogFuyw3qi5j,NA,False,False,False,False
R_1DMDzMnBg0H2ej3,Trash Cart,True,False,False,False
R_3jVgFAVd5wVvFdC,Trash Cart,True,False,False,False
R_pAbja210EwcSuZz,"Take to Drop-off Recycling Center,Other (such as can and bottle return or compost)",False,False,True,True
R_TbX9npjT6KHAYUx,Other (such as can and bottle return or compost),False,False,False,True
R_2bP2YH08feJHGsK,NA,False,False,False,False
R_21vTsDRphwCeJlo,"Trash Cart,Other (such as can and bottle return or compost)",True,False,False,True
R_0x3H9Wp4bfcOhl7,Take to Drop-off Recycling Center,False,False,True,False
R_1FCVn18TaZRKeKM,Recycling Cart,False,True,False,False
R_2ur3OYF84qkTKAR,Trash Cart,True,False,False,False
R_eg77MJYje16owmt,Other (such as can and bottle return or compost),False,False,False,True
R_vVOOHl5w74hCCA1,NA,False,False,False,False
R_1JEp3GUrukQJPeq,Trash Cart,True,False,False,False
R_3IbfpoQCG4S2h7q,"Trash Cart,Recycling Cart",True,True,False,False
R_1pJOD7oR8FVIGHh,Take to Drop-off Recycling Center,False,False,True,False
R_3nIcWnv3GxJDk1V,"Trash Cart,Recycling Cart",True,True,False,False
R_3lJt1qZDrcPmgiW,Trash Cart,True,False,False,False
R_0Mz69uR9k9vtMhH,Trash Cart,True,False,False,False
R_3hiITL8ObapeAZ7,Trash Cart,True,False,False,False
R_3Mz1Cxck9NoCx69,Trash Cart,True,False,False,False
R_3nVKsAeifhrIugV,Trash Cart,True,False,False,False
R_5bYXsj56pU7f6cV,Trash Cart,True,False,False,False
R_1Q3jy1tpQx1TKUe,NA,False,False,False,False
R_1ohbkP5PtYiuPmr,Trash Cart,True,False,False,False
R_3PYqb18pSKy7lhp,Take to Drop-off Recycling Center,False,False,True,False
R_1dtxnQ5xSjBsyQE,"Trash Cart,Take to Drop-off Recycling Center",True,False,True,False
R_290UNrNX5Oi3Lhn,"Trash Cart,Recycling Cart",True,True,False,False
R_2trr358i8FgTE7w,Take to Drop-off Recycling Center,False,False,True,False
R_1K6ATaM7vI4BcRD,Trash Cart,True,False,False,False
R_1lhgGvTNWBGshoI,Other (such as can and bottle return or compost),False,False,False,True
R_1jlcq7aJbp5r1lh,NA,False,False,False,False
R_1HpEn98o6udx7Ub,Other (such as can and bottle return or compost),False,False,False,True
R_2q2xkp8MGGJWxOB,Take to Drop-off Recycling Center,False,False,True,False
R_2t9eluYQzyPkLZN,Other (such as can and bottle return or compost),False,False,False,True
R_3lWXInooCt5AxMk,Other (such as can and bottle return or compost),False,False,False,True
R_2D5DnYAGYLuaRHn,NA,False,False,False,False
R_et80dan6Ef8kFEt,Trash Cart,True,False,False,False
R_2VmePXR4Q5QsWOF,Other (such as can and bottle return or compost),False,False,False,True
R_3NINTRRxUUm0iMk,Trash Cart,True,False,False,False
R_Rt86S0YxH1NkS8p,Trash Cart,True,False,False,False
R_yIn9qXmbRP9mmfT,Recycling Cart,False,True,False,False
R_6sCdOxXdi41nIVr,Take to Drop-off Recycling Center,False,False,True,False
R_3drRvB9qjbxxHXj,Recycling Cart,False,True,False,False
R_3stZoCEhtHdYEv7,Take to Drop-off Recycling Center,False,False,True,False
R_CjdYvp0hSrfyrHr,Trash Cart,True,False,False,False
