responseid,accepted_item_in_recycling,not_accepted_item_in_trash,unsure_item_in_trash,not_accepted_item_in_recycling,unsure_item_in_recycling,not_accepted_rc_num_scale,unsure_rc_num_scale,not_accepted_trash_num_scale,unsure_trash_num_scale
R_1FETsu2RRPPeIJT,Neither likely nor unlikely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_3ixPUKbQWLsfetW,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,4,4
R_1mUcb0Hh0r5qucC,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,Somewhat likely,1,4,5,2
R_2PAmevHIHLgziO3,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2Sddp0F6fYGZyHA,Extremely likely,Neither likely nor unlikely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,3,4
R_3knpGQ9G5ryIutp,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_7NVNNKqoitRQUgx,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,4,4,5,5
R_2w1tsFF4dkvUfKp,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Extremely unlikely,2,1,5,4
R_3RjBa6MGSs4do0w,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Extremely unlikely,2,1,4,4
R_2rSBq7AyNy1tQyA,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_1mlbPGlXYxOItvW,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1FfHXjJCrVBsKDT,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_qLAjxtPeyqzAjwl,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,Somewhat likely,1,4,5,2
R_1rdfLkwq0zmQpq6,Extremely likely,Somewhat likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,4,5
R_1F3a8tnE5Q8pGdi,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3isEgheOJ7P7Me5,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_3sySnbgLzldFscH,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3RxAAtDL9Lx4kR7,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3nBlRCMp3NNYxHy,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_0wFPwZJvI678KjL,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_1cXO9BN8DVjD1id,Extremely likely,Extremely likely,,Extremely unlikely,Extremely unlikely,1,1,5,0
R_O0Vqzd2lhofUuBj,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_1gumG0DM4oGOLwT,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,Extremely unlikely,1,1,5,2
R_1rHV1Z1POlYzoTy,Somewhat likely,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,4,2,5,4
R_29v1kl7ODZPkbU5,Extremely unlikely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_PHAnDywGWw3nEIN,Extremely likely,Somewhat unlikely,Extremely unlikely,Extremely unlikely,Extremely unlikely,1,1,2,1
R_By6LtI4TklIHVy9,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,4,5,5,5
R_2UhA1v3qaFrnJZP,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_3En9mcTwfuvDfOm,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat likely,2,4,4,4
R_1mPlcrAhN4I8K7K,Extremely likely,Somewhat unlikely,Somewhat unlikely,Extremely unlikely,Extremely unlikely,1,1,2,2
R_3321VFsdTPHrNf0,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2s55Fi8dnA002Pt,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_5uUhGcsrjiE6x2x,Somewhat likely,Extremely likely,Extremely likely,Neither likely nor unlikely,Somewhat unlikely,3,2,5,5
R_C2KeQW0YotEvUDT,Extremely likely,Extremely unlikely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,1,5
R_6s6jBcPw0NjkFi1,Extremely unlikely,Extremely likely,,Extremely unlikely,,1,0,5,0
R_XGTNl5JQHsWQyQh,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,4,1,5,5
R_1FJwpfVTJekOqjh,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely likely,1,5,5,4
R_3RwsYtSP9tdkYv1,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_2VlkppxWDNp9fPk,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_8IeUzTJ78Vvwtb3,Extremely likely,Somewhat unlikely,Somewhat likely,Extremely unlikely,Somewhat likely,1,4,2,4
R_2qyGcToGDh4RaZ9,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat likely,2,4,4,4
R_2zvycCkumzeZ52I,Somewhat likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_UGAP20SuXpQA5nb,Extremely likely,Extremely unlikely,Neither likely nor unlikely,Extremely unlikely,Extremely unlikely,1,1,1,3
R_2qf2sxWPQ6hpy76,Extremely likely,Extremely unlikely,Extremely unlikely,,,0,0,1,1
R_2uszpmMWAkulrn5,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat likely,1,4,5,4
R_3KwQ7E4zbFsuJp9,Extremely unlikely,Neither likely nor unlikely,Somewhat likely,Neither likely nor unlikely,Somewhat likely,3,4,3,4
R_11cfBkheKPcFiIz,Extremely likely,Extremely unlikely,Extremely unlikely,Extremely unlikely,Neither likely nor unlikely,1,3,1,1
R_2triF08YCXtQQiC,Extremely likely,Extremely likely,Neither likely nor unlikely,Somewhat unlikely,Neither likely nor unlikely,2,3,5,3
R_25YKUvS6s0IrEQn,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_3mfS4qfldItR359,Extremely likely,Somewhat likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,4,5
R_1rk2aM9ptDxh0uw,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Neither likely nor unlikely,1,3,5,5
R_2e2QOTM0MXgBdim,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_2SoVznHLXFp6AII,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_3nxx80KCxVLQAE3,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_3nCACOSRY2r0RhQ,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_3lQa3BonRlpagPA,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,3,3,3,3
R_115CzHpYpS1WSop,Somewhat likely,Somewhat likely,Somewhat likely,Extremely unlikely,Neither likely nor unlikely,1,3,4,4
R_Ua8v5yZy7uRanBv,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat likely,2,4,4,4
R_A1BsIL7IKYuo4Cd,Extremely likely,Somewhat likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,4,5
R_1dtzY5QvyeFFXMY,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_1j9DiGmtVH60GjR,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2zphRy3Bq8VAjZo,Extremely likely,Somewhat likely,Neither likely nor unlikely,Somewhat unlikely,Neither likely nor unlikely,2,3,4,3
R_3IYw0HmXPuJiLqJ,Extremely likely,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Somewhat likely,4,4,3,4
R_e3cV1JzQCM0ZhaF,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,4,4,5,4
R_W8c6wtKmuOsIpuF,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat likely,1,4,5,5
R_32LaDJwXmogR9Re,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3FKbdxo1M9srOu4,Somewhat unlikely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_3D17l1H8UgTXOco,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_41QK8DTODGOY6DD,Extremely likely,Extremely unlikely,Somewhat likely,Extremely unlikely,Somewhat likely,1,4,1,4
R_1mkpJkQuzB0IDur,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_u4XoVhnSfFl6biF,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_1IW1a19d7zMwG0z,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_2sZLkTb0C7mqclI,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,5,5,5,5
R_3QW1JgjCDwCmzuF,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Extremely unlikely,2,1,4,4
R_O7kuVKE4IHAWX61,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,,1,0,5,1
R_3O9vFu3RD2D2mcQ,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Somewhat likely,2,4,5,5
R_rkY7MxBeIzHcSnn,Extremely likely,Somewhat unlikely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,2,4
R_3MoPNoqjVeAbTkf,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_3iJQVFBVGoePjsK,Extremely unlikely,Somewhat likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,4,4
R_23e2JVEuiqcVDVx,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_ebrOmhM9aYaOAud,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_WBcVryfMAsGHlKN,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,4,1,5,4
R_1KdNqEGF7C1sC5A,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_2q7SYWocftnQoLO,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_2fvWk64JXy6toFT,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_1iao6aZVvwVRUZe,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_yvSGUKZX3h6IhRT,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_3O8DZ6S5CTIFui5,Extremely likely,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Somewhat likely,3,4,4,4
R_2pLVAWKB9qAAVl0,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat likely,2,4,5,4
R_zZjd6MDImpQpkhH,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Somewhat likely,1,4,4,4
R_2zcF8zz3ZYq69tz,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_9Rd0JuuycBkDQOt,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3GlYxrDjOzm1M4j,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_vDG1tVlinMDJCkV,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_32Qs9cMzDLZAl2t,Extremely likely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,2,4
R_1CJgsbXIRk3Dyrz,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,Extremely unlikely,1,1,5,1
R_241chZlLK78NijR,Extremely likely,Extremely likely,Neither likely nor unlikely,Somewhat unlikely,Somewhat unlikely,2,2,5,3
R_syVnTb8o2REA4h3,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2DYt3LblJG4lqV2,Extremely likely,Extremely unlikely,Somewhat unlikely,Extremely unlikely,Somewhat unlikely,1,2,1,2
R_beghlvqjMEKgbyF,Extremely likely,Somewhat likely,Neither likely nor unlikely,Extremely unlikely,Neither likely nor unlikely,1,3,4,3
R_20Z47DpqH3l6p9J,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_305WoZEcIS1taJZ,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,5,4
R_2uWLK7FFPO2oztI,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3dKd1cUJjNk9Pkg,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_3GexPYPKQpKU8B0,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Neither likely nor unlikely,2,3,5,5
R_21H8xMqquKAJNSy,Extremely likely,Extremely likely,,Somewhat unlikely,Somewhat unlikely,2,2,5,0
R_3PAD3WW6ITltXpF,Extremely likely,Extremely unlikely,Somewhat likely,Somewhat unlikely,Extremely unlikely,2,1,1,4
R_ah4EcyNtWq66M37,Extremely likely,Extremely unlikely,Neither likely nor unlikely,Somewhat unlikely,Neither likely nor unlikely,2,3,1,3
R_3Dpw0L93UJIdmK7,Extremely likely,Extremely likely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,3,1,5,5
R_1In4KxUw0Pz7PsA,Extremely likely,Extremely unlikely,Neither likely nor unlikely,Extremely unlikely,Somewhat unlikely,1,2,1,3
R_1eDiK2UAe4cmiJq,Extremely likely,Somewhat unlikely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,3,1,2,5
R_3D14QqYiBvt3TpJ,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,4,4
R_26liY8uMWCnVX5o,Extremely likely,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Neither likely nor unlikely,3,3,4,4
R_24XgynI8QAzzqa5,Extremely likely,Extremely likely,Extremely likely,Neither likely nor unlikely,Neither likely nor unlikely,3,3,5,5
R_2Ysu9W0vTMaHkXd,Extremely likely,Extremely likely,Neither likely nor unlikely,Somewhat unlikely,Somewhat unlikely,2,2,5,3
R_3M6xu1HlGTazaU9,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_2eQohTuKX3RGs3N,Extremely likely,Extremely unlikely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,1,4
R_VImxwgvSIol6MmZ,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat likely,1,4,5,4
R_tKz0JJQUD5cKVl7,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_1EX1zItlbW69btm,Extremely likely,Somewhat likely,Extremely likely,Extremely unlikely,Neither likely nor unlikely,1,3,4,5
R_1OBo20X7Pdlzlg2,Extremely likely,Somewhat likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,4,4
R_2Cwd9iwMC8fg36y,Extremely likely,Somewhat likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,4,5
R_125X3q2z2JhdTVq,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2TKSorrbMmrFTXH,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_28XNQHiIxj2PW34,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Extremely unlikely,1,1,5,4
R_1gSYe7XVgt2kDJr,Somewhat unlikely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,5,5,5,5
R_3mkN4eQnhkCslLR,Extremely likely,Extremely likely,Neither likely nor unlikely,Extremely unlikely,Extremely unlikely,1,1,5,3
R_2xxHJJ9AwDo1Bm1,Extremely likely,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,2,2,4,4
R_27lFBqdJmR5LB5A,Extremely unlikely,Somewhat unlikely,Neither likely nor unlikely,Somewhat unlikely,Neither likely nor unlikely,2,3,2,3
R_9NddfSgkZ3pq8Ux,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2OMF7fc7bhIodbN,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_su3qWsCKCZxc0bT,Extremely unlikely,Somewhat likely,Extremely likely,Somewhat likely,Extremely likely,4,5,4,5
R_3NOsVEMugLqtAbS,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_3gUCE4YyhpF1aAP,Extremely likely,Extremely unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,2,2,1,2
R_curlDvGITFMGVtT,Extremely likely,Extremely likely,Extremely likely,Somewhat unlikely,Extremely unlikely,2,1,5,5
R_BsTjeGGWI3N2qXv,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,Extremely unlikely,1,1,5,1
R_3J9hPQY5ctlQzbT,Extremely likely,Neither likely nor unlikely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,3,4
R_3rUTiormaSjiFMv,Extremely unlikely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
R_qCMghZP7hvCgXw5,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2rDiDMwImMf867I,Extremely likely,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat unlikely,1,2,5,4
R_2arhxjkK8zDykjj,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Extremely unlikely,1,1,5,5
R_2cnI4kyXYeHumuQ,Extremely likely,Extremely likely,Somewhat likely,Somewhat unlikely,Somewhat likely,2,4,5,4
R_2ipFBXCAbJr6j6h,Extremely likely,Somewhat likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,4,5
R_1Cg1yYgxH72In85,Extremely likely,Extremely likely,Extremely likely,Extremely unlikely,Somewhat unlikely,1,2,5,5
